date,close_price,volume
2025-01-02,138.2721710205078,198247200
2025-01-03,144.4304962158203,229322500
2025-01-06,149.38912963867188,265377400
2025-01-07,140.10166931152344,351782200
2025-01-08,140.0717010498047,227349900
2025-01-10,135.8728485107422,207602500
2025-01-13,133.19357299804688,204808900
2025-01-14,131.72396850585938,195590500
2025-01-15,136.2027587890625,185217300
2025-01-16,133.53347778320312,209235600
2025-01-17,137.67234802246094,201188800
2025-01-21,140.79148864746094,197749000
2025-01-22,147.02980041503906,237651400
2025-01-23,147.17974853515625,155915500
2025-01-24,142.58099365234375,234657600
2025-01-27,118.38761901855469,818830900
2025-01-28,128.95472717285156,579666400
2025-01-29,123.66616821289062,467120600
2025-01-30,124.61591339111328,392925500
2025-01-31,120.03717041015625,388161100
2025-02-03,116.62810516357422,371235700
2025-02-04,118.6175537109375,256550000
2025-02-05,124.79586791992188,262230800
2025-02-06,128.6448211669922,251483600
2025-02-07,129.80447387695312,228186300
2025-02-10,133.53347778320312,216989100
2025-02-11,132.76368713378906,178902400
2025-02-12,131.10414123535156,160278600
2025-02-13,135.25299072265625,197430000
2025-02-14,138.81202697753906,195479600
2025-02-18,139.36187744140625,219176600
2025-02-19,139.1919403076172,167536000
2025-02-20,140.0717010498047,143903600
2025-02-21,134.3932342529297,228217600
2025-02-24,130.244384765625,251381100
2025-02-25,126.59537506103516,271428700
2025-02-26,131.24411010742188,322553800
2025-02-27,120.11714935302734,443175800
2025-02-28,124.88583374023438,389091100
2025-03-03,114.02880859375,411381400
2025-03-04,115.95829010009766,398163300
2025-03-05,117.26792907714844,284337900
2025-03-06,110.53976440429688,321181900
2025-03-07,112.65919494628906,341755500
2025-03-10,106.95074462890625,366487400
2025-03-11,108.73025512695312,354865700
2025-03-12,115.718994140625,323857500
2025-03-13,115.55902862548828,299033100
2025-03-14,121.64791870117188,277593500
2025-03-17,119.50830841064453,255501500
2025-03-18,115.4090576171875,299686900
2025-03-19,117.49867248535156,273426200
2025-03-20,118.50848388671875,248829700
2025-03-21,117.67863464355469,266498500
2025-03-24,121.38796997070312,228452500
2025-03-25,120.66809844970703,167447200
2025-03-26,113.7393569946289,293463300
2025-03-27,111.40978240966797,236902100
